NUM_AUTORIZACION_TC,IND_ANOMALA_SVM,IND_ANOMALA_GN
816265,[-1],NA
820471,[-1],NA
862628,[-1],NA
933354,[-1],NA
935789,[-1],BAJA
920407,[-1],BAJA
869778,[-1],BAJA
826873,[-1],BAJA
909257,[-1],NA
837472,[-1],NA
816491,[-1],BAJA
920916,[-1],NA
936498,[-1],BAJA
840154,[-1],BAJA
837693,[-1],BAJA
858935,[-1],NA
900158,[-1],NA
891897,[-1],NA
862585,[-1],NA
826711,[-1],NA
885169,[-1],BAJA
820401,[-1],NA
891744,[-1],NA
834203,[-1],NA
902347,[-1],NA
916259,[-1],NA
859346,[-1],NA
930402,[-1],NA
841456,[-1],BAJA
913361,[-1],NA
867910,[-1],NA
815879,[-1],NA
918946,[-1],BAJA
825281,[-1],NA
904935,[-1],NA
901858,[-1],NA
822768,[-1],BAJA
930783,[-1],BAJA
841154,[-1],NA
931958,[-1],NA
808142,[-1],NA
858091,[-1],NA
881909,[-1],NA
884097,[-1],NA
894684,[-1],NA
932736,[-1],NA
810249,[-1],NA
809066,[-1],BAJA
887202,[-1],NA
891833,[-1],NA
928713,[-1],NA
809367,[-1],BAJA
811468,[-1],BAJA
849095,[-1],NA
847331,[-1],BAJA
872366,[-1],BAJA
866640,[-1],NA
902618,[-1],NA
915474,[-1],NA
929535,[-1],NA
935023,[-1],NA
880802,[-1],NA
915610,[-1],NA
910554,[-1],NA
853845,[-1],NA
809370,[-1],BAJA
867923,[-1],BAJA
916785,[-1],NA
933085,[-1],NA
936910,[-1],BAJA
824588,[-1],NA
836907,[-1],BAJA
909016,[-1],NA
877400,[-1],NA
874950,[-1],NA
907657,[-1],BAJA
921195,[-1],NA
831865,[-1],NA
873372,[-1],BAJA
905566,[-1],NA
923770,[-1],NA
925006,[-1],BAJA
878194,[-1],NA
930717,[-1],BAJA
805576,[-1],NA
814994,[-1],NA
820312,[-1],BAJA
849060,[-1],BAJA
836387,[-1],BAJA
873877,[-1],BAJA
920466,[-1],NA
919202,[-1],BAJA
920458,[-1],NA
840035,[-1],NA
921682,[-1],NA
932507,[-1],NA
847438,[-1],NA
847759,[-1],BAJA
851357,[-1],BAJA
832795,[-1],BAJA
861057,[-1],NA
829740,[-1],BAJA
912308,[-1],BAJA
897266,[-1],BAJA
843300,[-1],BAJA
901500,[-1],NA
857842,[-1],NA
904391,[-1],NA
937509,[-1],NA
861424,[-1],BAJA
840875,[-1],NA
864169,[-1],BAJA
880799,[-1],NA
830115,[-1],NA
878813,[-1],BAJA
901181,[-1],NA
829766,[-1],NA
821963,[-1],NA
905840,[-1],NA
899480,[-1],BAJA
840398,[-1],NA
926950,[-1],NA
848382,[-1],BAJA
856578,[-1],NA
